Femmes  ;  18_20a  ;  21_25a  ;  26_30a  ;  31_40a  ;  41_50a  ;  51_60a  ;  61_65a  ;  plus65a
1962  ;  687  ;  847  ;  969  ;  1072  ;  1053  ;  1035  ;  988  ;  931
1963  ;  798  ;  975  ;  1099  ;  1203  ;  1182  ;  1151  ;  1141  ;  1120
1964  ;  824  ;  1033  ;  1187  ;  1286  ;  1264  ;  1209  ;  1209  ;  1198
1965  ;  864  ;  1098  ;  1285  ;  1366  ;  1366  ;  1308  ;  1296  ;  1285
1966  ;  930  ;  1178  ;  1364  ;  1463  ;  1438  ;  1376  ;  1376  ;  1364
1967  ;  947  ;  1224  ;  1474  ;  1552  ;  1552  ;  1460  ;  1460  ;  1539
1968  ;  1050  ;  1331  ;  1627  ;  1731  ;  1731  ;  1642  ;  1612  ;  1731
1969  ;  1187  ;  1483  ;  1797  ;  1896  ;  1912  ;  1830  ;  1780  ;  1961
1970  ;  1301  ;  1627  ;  1970  ;  2078  ;  2078  ;  1988  ;  1970  ;  2205
1971  ;  1442  ;  1802  ;  2162  ;  2302  ;  2322  ;  2222  ;  2142  ;  2282
1972  ;  1575  ;  1974  ;  2373  ;  2551  ;  2551  ;  2462  ;  2351  ;  2551
1973  ;  1816  ;  2213  ;  2636  ;  2835  ;  2835  ;  2810  ;  2686  ;  2761
1974  ;  2121  ;  2592  ;  3093  ;  3358  ;  3329  ;  3299  ;  3122  ;  3093
1975  ;  2466  ;  2979  ;  3561  ;  3904  ;  3870  ;  3801  ;  3596  ;  3596
1976  ;  2797  ;  3462  ;  4126  ;  4513  ;  4484  ;  4404  ;  4220  ;  4362
1977  ;  3121  ;  3822  ;  4523  ;  5066  ;  5034  ;  4994  ;  4873  ;  4465
1978  ;  3483  ;  4331  ;  5072  ;  5745  ;  5717  ;  5701  ;  5695  ;  5885
1979  ;  3834  ;  4727  ;  5525  ;  6329  ;  6305  ;  6335  ;  6472  ;  6111
1980  ;  4249  ;  5352  ;  6253  ;  7176  ;  7194  ;  7218  ;  7213  ;  7425
1981  ;  4854  ;  6034  ;  7040  ;  8078  ;  8189  ;  8249  ;  8376  ;  8336
1982  ;  5575  ;  6839  ;  7964  ;  9137  ;  9372  ;  9481  ;  9788  ;  9405
1983  ;  6099  ;  7594  ;  8781  ;  10089  ;  10518  ;  10498  ;  10872  ;  11321
1984  ;  6487  ;  8160  ;  9390  ;  10798  ;  11384  ;  11259  ;  11684  ;  12857
1985  ;  6906  ;  8600  ;  9977  ;  11494  ;  12314  ;  12043  ;  13076  ;  14666
1986  ;  6765  ;  8944  ;  10438  ;  12024  ;  13021  ;  12797  ;  13101  ;  15289
1987  ;  6936  ;  9096  ;  10699  ;  12245  ;  13473  ;  13089  ;  14272  ;  16617
1988  ;  6661  ;  9378  ;  11062  ;  12628  ;  13944  ;  13515  ;  14487  ;  17756
1989  ;  7150  ;  9757  ;  11602  ;  13163  ;  14611  ;  14231  ;  15276  ;  17639
1990  ;  7398  ;  10238  ;  12268  ;  13832  ;  15331  ;  15034  ;  16183  ;  18212
1991  ;  7546  ;  10577  ;  12764  ;  14308  ;  15840  ;  15630  ;  16867  ;  18539
1992  ;  7301  ;  10803  ;  13137  ;  14717  ;  16245  ;  16192  ;  16801  ;  20113
1993  ;  7869  ;  11243  ;  13630  ;  15293  ;  16798  ;  17047  ;  18531  ;  16397
1994  ;  7336  ;  10799  ;  13461  ;  15135  ;  16588  ;  16972  ;  18013  ;  16339
1995  ;  7813  ;  11458  ;  14198  ;  15961  ;  17347  ;  18164  ;  19978  ;  20056
1996  ;  7821  ;  11476  ;  14180  ;  16149  ;  17498  ;  18548  ;  20454  ;  18875
1997  ;  7947  ;  11769  ;  14475  ;  16587  ;  17851  ;  18993  ;  20427  ;  19421
1998  ;  8135  ;  12018  ;  14736  ;  16950  ;  18148  ;  19451  ;  20913  ;  19312
1999  ;  8064  ;  12256  ;  15113  ;  17346  ;  18468  ;  19845  ;  21506  ;  19660
2000  ;  8435  ;  12658  ;  15646  ;  17779  ;  18873  ;  20281  ;  22058  ;  19679
2001  ;  9771  ;  13483  ;  16319  ;  18202  ;  19181  ;  20701  ;  22902  ;  nd
2002  ;  9311  ;  13512  ;  16692  ;  18581  ;  19598  ;  21038  ;  23636  ;  nd
2003  ;  nd  ;  13667  ;  17024  ;  18932  ;  19926  ;  21338  ;  24364  ;  nd
2004  ;  nd  ;  13906  ;  17292  ;  19319  ;  20363  ;  21770  ;  25244  ;  nd
2005  ;  9567  ;  14299  ;  17726  ;  19963  ;  21053  ;  22380  ;  26267  ;  nd
2006  ;  9590  ;  14533  ;  17988  ;  20373  ;  21502  ;  22800  ;  27054  ;  nd
2007  ;  9819  ;  14917  ;  18439  ;  21085  ;  22230  ;  23409  ;  28225  ;  nd
2008  ;  10032  ;  15359  ;  18991  ;  21806  ;  22979  ;  24085  ;  28821  ;  nd
2009  ;  10478  ;  15773  ;  19343  ;  22265  ;  23513  ;  24524  ;  28543  ;  nd
2010  ;  10174  ;  15658  ;  19601  ;  22737  ;  24081  ;  25131  ;  29492  ;  nd
2011  ;  10411  ;  15898  ;  19889  ;  23252  ;  24798  ;  25587  ;  29872  ;  nd
2012  ;  10579  ;  16086  ;  20087  ;  23567  ;  25272  ;  25963  ;  30629  ;  nd
